Crash_UID,AlcoholInvolved,AtIntersection,BicycleInvolved,Year,Quarter,Month,Day,CrashTime,CrashType,DayOfWeek,DaytimeNighttime_NHTSA,DistractedDriverInvolved,DistractedDriverInjuries,DriverTextingInvolved,DriverUsingCellPhone,FunctionalClassCode,Hour,IntersectionType,Jurisdiction,Sum of Latitude,Sum of Longitude,LocationTypeName,Meteorological Season,MonthName,MotorcycleInvolved,Number_Of_Fatalities,Number_Of_Injuries,PedestrianFatalities,PedestrianInjuries,PedestrianInvolved,RelationToRoadway_Category,RelationToRoadway_Value,RoadName,RouteName,SchoolZone,SecondaryLocation,Age,Gender,Age_Groups,Pedestrian_UID,PedestrianAction_Category,PedestrianAction_Value,PedestrianCondition,PedestrianDrinking_Category,PedestrianDrinking_Value,PedestrianInjuryType,PedestrianState,WearReflectiveClothing,Year,WorkZoneType,WorkZoneLocation,WeatherCondition,TrafficControlType,TownName,Single_Multi_Vehicle,TypeOfCollision,TrainRelated,SpeedRelated,TrafficControlMechanicalDevice,MileMarker,RouteNumber,RoadwayDescription,RoadwayAlignment,RoadwayDefect,RoadwaySurfaceCondition,Sum of NumberOfVehicles,SchoolZoneInvolved,WorkZoneRelated
c7283491,No,At Intersection,No,2022,Qtr 1,January,7,1899-12-30 06:51:00,Injury Crash,Friday,Daytime,No,0,No,No,Major Collector,6,Three Approaches,Salem City,37.28438,-80.0586,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,UR-8051S (CITY OF SALEM),UNION ST,No,BROOME ST,45,Male,36 - 50 Y.O.,ped9787990,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.51,8051,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c9113878,No,At Intersection,No,2022,Qtr 1,January,8,1899-12-30 12:20:00,Injury Crash,Saturday,Daytime,No,0,No,No,Major Collector,12,Two Approaches,Alexandria City,38.83881,-77.10508,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,UR-6711N (CITY OF ALEXANDRIA),HAMPTON DR,No,KING ST,67,Male,65 and over Y.O.,ped0980074,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,0.41,6711,"One-Way, Not Divided",Grade - Curve,No Defects,Dry,1,No,No
c7255432,No,At Intersection,No,2022,Qtr 1,January,8,1899-12-30 15:23:00,Injury Crash,Saturday,Daytime,No,0,No,No,"",15,Four Approaches,Hampton City,37.0427,-76.39106,Urban,Winter,January,No,0,2,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,"",KILGORE AVE,No,HOLT AVE,19,Male,15 - 20 Y.O.,ped6223373,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c7296737,No,At Intersection,No,2022,Qtr 1,January,8,1899-12-30 23:58:00,Injury Crash,Saturday,Nighttime,Yes,0,No,Yes,Minor Arterial,23,Not at Intersection,Richmond City,37.52108,-77.43913,Urban,Winter,January,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,UR-7545S (CITY OF RICHMOND),COMMERCE RD,No,STOCKTON ST,45,Male,36 - 50 Y.O.,ped0327497,Crossing Not At Intersection,Crossing Not At Intersection – Urban,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.74,7545,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c5882733,No,At Intersection,No,2022,Qtr 1,January,10,1899-12-30 09:18:00,Injury Crash,Monday,Daytime,No,0,No,No,Other Principal Arterial,9,Four Approaches,Fairfax County,38.87395,-77.23123,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,US-29N,LEE HWY,No,ESKRIDGE RD,26,Male,21 - 35 Y.O.,ped8446942,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,239.89,29,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c6711248,No,At Intersection,No,2022,Qtr 1,January,10,1899-12-30 14:10:00,Injury Crash,Monday,Daytime,No,0,No,No,Other Principal Arterial,14,Three Approaches,Fairfax County,38.90654,-77.25889,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,VA-123N,MAPLE AVE,No,BRANCH RD,22,Female,21 - 35 Y.O.,ped8364455,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,Vienna,Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,20.49,123,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c2736161,No,At Intersection,No,2022,Qtr 1,January,10,1899-12-30 14:33:00,Injury Crash,Monday,Daytime,Yes,0,No,No,Major Collector,14,Three Approaches,Alexandria City,38.80473,-77.05377,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,PRINCE ST (NP - CITY OF ALEXANDRIA),PRINCE ST,No,PAYNE ST,82,Male,65 and over Y.O.,ped7345331,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Stop Sign,"",Multiple Vehicle Crashes,Angle,No,No,Yes - Working,0.72,,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,2,No,No
c6212063,No,At Intersection,No,2022,Qtr 1,January,10,1899-12-30 15:50:00,Injury Crash,Monday,Daytime,No,0,No,No,Minor Arterial,15,Four Approaches,Hampton City,37.03831,-76.40956,Urban,Winter,January,No,0,2,0,1,Yes,Intersection Area,Within Intersection,UR-7025N (CITY OF HAMPTON),ABERDEEN RD,No,EDGEWOOD DR,54,Male,51 - 64 Y.O.,ped6778799,Crossing At Intersection,Crossing At Intersection Diagonally,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,2.91,7025,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c5222572,No,At Intersection,No,2022,Qtr 1,January,10,1899-12-30 16:38:00,Injury Crash,Monday,Daytime,No,0,No,No,Major Collector,16,Three Approaches,Hampton City,37.00989,-76.38168,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,UR-7059S (CITY OF HAMPTON),POWHATAN PKWY,No,JAMESTOWN AVE,44,Female,36 - 50 Y.O.,ped6558595,Walking In Roadway,Walking In Roadway With Traffic – Sidewalks Available,Not Provided,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,0.84,7059,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c4666709,No,At Intersection,No,2022,Qtr 1,January,11,1899-12-30 02:55:00,Injury Crash,Tuesday,Nighttime,No,0,No,No,Minor Arterial,2,Four Approaches,Norfolk City,36.86921,-76.27986,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,CHURCH ST (NP - CITY OF NORFOLK),CHURCH ST,No,25TH ST,55,Male,51 - 64 Y.O.,ped4863272,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,1.1,,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c7008559,No,At Intersection,No,2022,Qtr 1,January,11,1899-12-30 15:29:00,Injury Crash,Tuesday,Daytime,No,0,No,No,Minor Arterial,15,Four Approaches,Norfolk City,36.9328,-76.25374,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,VA-168S,TIDEWATER DR,No,BAYVIEW BLVD,11,Male,under 15 Y.O.,ped7844633,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,29.42,168,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c3003744,No,At Intersection,No,2022,Qtr 1,January,12,1899-12-30 13:00:00,Injury Crash,Wednesday,Daytime,No,0,No,No,Other Principal Arterial,13,Not at Intersection,Falls Church City,38.89197,-77.18632,Urban,Winter,January,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,VA-7E,BROAD ST,No,FALLS AVE,12,Male,under 15 Y.O.,ped0714149,Crossing Not At Intersection,Crossing Not At Intersection – Urban,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,62.87,7,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c7317030,No,At Intersection,No,2022,Qtr 1,January,12,1899-12-30 16:51:00,Injury Crash,Wednesday,Daytime,No,0,No,No,Other Principal Arterial,16,Three Approaches,Va. Beach City,36.9057,-76.17886,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,US-60W,SHORE DR,No,DIAMOND SPRINGS RD,28,Male,21 - 35 Y.O.,ped0211710,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,287.76,60,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c9495126,No,At Intersection,No,2022,Qtr 1,January,12,1899-12-30 19:10:00,Injury Crash,Wednesday,Nighttime,No,0,No,No,Minor Arterial,19,Four Approaches,Richmond City,37.52899,-77.42116,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,US-60W,MAIN ST,No,25TH ST,26,Female,21 - 35 Y.O.,ped8080973,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,191.6,60,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c7538751,No,At Intersection,No,2022,Qtr 1,January,12,1899-12-30 22:31:00,Fatal Crash,Wednesday,Nighttime,No,0,No,No,Minor Arterial,22,Four Approaches,Henrico County,37.61678,-77.47096,Urban,Winter,January,No,1,0,1,0,Yes,Intersection Area,Intersection Related - Within 150 Feet,VA-356E,HILLIARD RD,No,LAKESIDE AVE,63,Female,51 - 64 Y.O.,ped3202827,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,1.41,356,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c3305498,No,At Intersection,No,2022,Qtr 1,January,13,1899-12-30 17:44:00,Injury Crash,Thursday,Daytime,No,0,No,No,Minor Arterial,17,Four Approaches,Henrico County,37.60554,-77.57218,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,CR-7502E (HENRICO COUNTY),QUIOCCASIN RD,No,BLUE JAY LN,43,Female,36 - 50 Y.O.,ped8058365,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,4.96,7502,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c8519623,No,At Intersection,No,2022,Qtr 1,January,14,1899-12-30 01:59:00,Injury Crash,Friday,Nighttime,No,0,No,No,Other Principal Arterial,1,Not at Intersection,Newport News City,37.01419,-76.45485,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Non-Intersection,US-17N,MERCURY BLVD,No,RIVER RD RAMP,23,Male,21 - 35 Y.O.,ped0241519,Other,Other,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,50.63,17,"Two-Way, Divided, Positive Median Barrier",On/Off Ramp,No Defects,Dry,1,No,No
c7440369,No,At Intersection,No,2022,Qtr 1,January,14,1899-12-30 18:35:00,Injury Crash,Friday,Nighttime,No,0,No,No,Minor Arterial,18,Four Approaches,Fairfax County,38.86653,-77.44827,Urban,Winter,January,No,0,2,0,2,Yes,Interchange Area,Main-Line Roadway,SC-662E (FAIRFAX COUNTY),WESTFIELDS BLVD,No,SEQUOIA FARMS DR,30,Male,21 - 35 Y.O.,ped0828850,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.47,662,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c7440369,No,At Intersection,No,2022,Qtr 1,January,14,1899-12-30 18:35:00,Injury Crash,Friday,Nighttime,No,0,No,No,Minor Arterial,18,Four Approaches,Fairfax County,38.86653,-77.44827,Urban,Winter,January,No,0,2,0,2,Yes,Interchange Area,Main-Line Roadway,SC-662E (FAIRFAX COUNTY),WESTFIELDS BLVD,No,SEQUOIA FARMS DR,33,Male,21 - 35 Y.O.,ped0498062,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.47,662,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c5621831,No,At Intersection,No,2022,Qtr 1,January,15,1899-12-30 11:26:00,Injury Crash,Saturday,Daytime,No,0,No,No,Local,11,Three Approaches,Goochland County,37.59904,-77.6504,Rural,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,SC-649N (GOOCHLAND COUNTY),BLAIR RD,No,PATTERSON AVE,21,Male,21 - 35 Y.O.,ped8783042,Playing In Roadway,Playing In Roadway,Not Provided,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.98,649,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c7170777,No,At Intersection,No,2022,Qtr 1,January,19,1899-12-30 01:40:00,Fatal Crash,Wednesday,Nighttime,No,0,No,No,Other Principal Arterial,1,Not at Intersection,Roanoke City,37.30632,-79.94681,Urban,Winter,January,No,1,0,1,0,Yes,Intersection Area,Non-Intersection,US-11S,WILLIAMSON RD,No,WENTWORTH AVE,35,Female,21 - 35 Y.O.,ped0088963,Walking In Roadway,Walking In Roadway Against Traffic – Side Walks Not Available,Not Applicable,Not Applicable,Not Applicable,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,Yes,Yes - Working,154.55,11,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c1043592,No,At Intersection,No,2022,Qtr 1,January,19,1899-12-30 10:32:00,Injury Crash,Wednesday,Daytime,No,0,No,No,Minor Arterial,10,Four Approaches,Va. Beach City,36.85518,-76.02489,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,UR-9S (CITY OF VIRGINIA BEACH),FIRST COLONIAL RD,No,WOLFSNARE RD,64,Male,51 - 64 Y.O.,ped0674400,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.94,9,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c6576988,No,At Intersection,No,2022,Qtr 1,January,19,1899-12-30 17:50:00,Injury Crash,Wednesday,Daytime,No,0,No,No,Minor Arterial,17,Four Approaches,Richmond City,37.52954,-77.42214,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,US-60W,MAIN ST,No,24TH ST,60,Female,51 - 64 Y.O.,ped0427448,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Stop Sign,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,191.53,60,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
